customer_id;first_name;last_name;address;postcode;city;country;email;date_of_birth
1;Lisa;Glass;"2192 Cantu Lights Apt. 058
North Johnchester, SD 08278";75757;Lake Chelsey;Panama;xmorris@example.com;1955-12-15
2;Rebecca;Kelly;"386 Ashley Creek
Jimenezchester, CA 79139";24518;Port Richard;Gambia;robinsonlarry@example.org;1969-04-27
3;William;Zimmerman;"11609 Jones Court Suite 573
Anthonyport, OR 50402";07834;Kaylaport;Falkland Islands (Malvinas);cassandralyons@example.org;1963-01-13
4;Lauren;Garcia;"50183 Sanders Lodge
Duncanland, NY 90170";50032;Port Robert;Algeria;susanbarrett@example.net;1967-01-26
5;Jennifer;Acosta;"9855 Dominique Trail Suite 076
West Wesleyland, IN 55340";85282;Robertview;Mauritius;gibsonangel@example.org;1975-11-23
6;Nicholas;Owens;"59637 Baker Turnpike
South Angela, MI 27028";33809;East Scott;Faroe Islands;michelle47@example.com;1983-07-14
7;Christopher;Howard;"08517 Richard Ford Apt. 907
Stephaniestad, MD 14942";71336;North Sandraport;Svalbard & Jan Mayen Islands;evincent@example.com;1996-04-14
8;Steven;Miranda;"3466 Tammy Via
Wrightstad, MT 14789";85814;Pattonstad;Bermuda;nfrank@example.net;1988-02-04
9;Daniel;Wells;"906 Nolan Creek Apt. 776
East Colin, WV 78579";03044;Sherrytown;Jamaica;schroederjohn@example.net;1992-12-13
10;Alyssa;Sanchez;"669 Eric Canyon Suite 772
New Jessicaside, RI 47376";08348;North Paul;Bangladesh;austin41@example.com;1992-09-24
11;Timothy;Koch;"385 Durham Bridge
West Thomas, OR 91863";89381;North Kyleland;Saint Lucia;andersonnicholas@example.net;1958-05-06
12;Michael;Shepherd;"USS Reyes
FPO AP 71490";85062;Dianastad;Bahrain;nicholaschambers@example.com;1956-05-21
13;Brenda;Dixon;"0132 Melissa Rue Apt. 092
Dodsonhaven, NY 63146";62451;North Kenneth;Panama;williamsemily@example.net;1969-07-19
14;Christopher;Edwards;"USCGC Wright
FPO AP 64233";74187;South Joseph;Nauru;ystafford@example.org;1991-05-13
15;Casey;Gonzales;"66057 Morton Extension Suite 948
West Leehaven, UT 21565";38516;Derekberg;Oman;sreed@example.org;1988-11-24
16;Yesenia;Dyer;"9338 David Mountains
New Joseph, CA 64243";61158;Jacksonchester;Liechtenstein;melissa49@example.org;1964-05-18
17;Kendra;Obrien;"6652 Stephenson Field Suite 601
Lake Danielle, MI 10870";00824;Romerohaven;Sudan;cardenasjerry@example.org;1956-04-11
18;Michele;Pineda;"51667 Frank Rest Suite 664
Heathertown, GA 22600";31945;Thompsonhaven;Malta;paynemeagan@example.org;1961-05-29
19;Matthew;Strong;"77594 Avila Lock Suite 135
Marshallview, AL 84759";26634;Erinfurt;Rwanda;fpollard@example.org;1957-10-12
20;Tommy;Wall;"3220 Young Walk Suite 586
East Maria, AR 13426";72818;New Laurieborough;Georgia;nathan85@example.net;1980-10-08
21;Julie;Mcguire;"71943 Fernandez Mission
Heidichester, AZ 26279";84117;West Johnnyfort;Saint Barthelemy;matthew12@example.org;1979-11-23
22;Sheila;Franklin;"653 Colleen Ford
Port Stephen, IL 86150";07583;Port Jessicatown;Fiji;brandtjennifer@example.com;1992-12-02
23;Kristina;Lopez;"92227 Wolfe Field Suite 536
Mooreside, GA 73898";40770;West Colin;Barbados;zhicks@example.com;1971-07-26
24;Jason;Bender;"150 Garner Highway Apt. 607
Stevensview, MA 89863";08685;Mitchellmouth;Cote d'Ivoire;onealcarrie@example.net;1978-05-24
25;William;Espinoza;"3746 Michelle Key Suite 516
East Andrewchester, CT 84281";62838;South Samanthabury;French Southern Territories;michael99@example.com;1987-03-20
26;Heather;Sharp;"0855 Lisa Road Suite 477
Nicholasville, OR 57567";94043;Olsonfort;Australia;stephencunningham@example.net;1958-01-20
27;James;Vang;"3156 Marcus Parks
Christopherport, WA 97226";94730;East Crystalville;Armenia;srichmond@example.org;2000-06-30
28;Kevin;Davis;"27933 Jessica Port Apt. 470
Lauramouth, HI 68730";59622;Lake Lisaborough;Slovakia (Slovak Republic);jamesmiller@example.net;1989-07-23
29;Dennis;Schmidt;"9572 Melody Extensions
New Christopher, NJ 47042";37821;Debrastad;Botswana;patricia42@example.org;1994-10-09
30;Brian;White;"702 Amy Springs
South Timothyfurt, WY 97289";72461;South Timothyview;Palau;davenporttimothy@example.com;1999-02-13
